Año;Departamento;Municipio;Operadora;Campo;Contrato;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;Total;
2017;TOLIMA;PIEDRAS;INTEROIL COLOMBIA EXPLORATION AND PRODUCTION;AMBROSIA;AMBROSIA;34,35483871;31,71428571;32,93548387;31,3;40,06451613;35,79966667;32,52451613;25,58290323;22,308;31,83935484;49,01066667;38,7416129;406,1758449;
2018;TOLIMA;PIEDRAS;INTEROIL COLOMBIA EXPLORATION AND PRODUCTION;AMBROSIA;AMBROSIA;37,57;36,26464286;35,63580645;34,53466667;36,84806452;34,26766667;34,24516129;32,56741935;32,437;32,23645161;31,83166667;31,31548387;409,75403;
2019;TOLIMA;PIEDRAS;INTEROIL COLOMBIA EXPLORATION AND PRODUCTION;AMBROSIA;AMBROSIA;31,01;31,13;30,73;30,77;30,48;30,36;30,09;30,53;30,15;29,91;30,44;29,96;365,56;
2020;TOLIMA;PIEDRAS;INTEROIL COLOMBIA EXPLORATION AND PRODUCTION ;AMBROSIA;AMBROSIA;28,84;29,42;29,35;29,29;29,12;31,07;29,88;29,18;29,04;29,96;29,29;29,34;353,78;
2021;TOLIMA;PIEDRAS;INTEROIL COLOMBIA EXPLORATION AND PRODUCTION;AMBROSIA;AMBROSIA;29,5;29,53;29,19;29,12;29,35;29,15;29,59;29,23;28,81;28,71;26,53;19,94;338,65;
2022;TOLIMA;PIEDRAS;INTEROIL COLOMBIA EXPLORATION AND PRODUCTION;AMBROSIA;AMBROSIA;24,24;40,5;43,93;41,34;36,73;32,21;32,21;31,35;30,9;30,86;30,35;31,05;405,67;
2023;TOLIMA;PIEDRAS;INTEROIL COLOMBIA EXPLORATION AND PRODUCTION ;AMBROSIA;AMBROSIA;30,89;30,66;30,31;30,61;31,48;30,54;29,47;29,55;29,07;29,39;29,9;30,12;361,99;
2014;HUILA;BARAYA;ECOPETROL ALTO MAGDALENA;ANDALUCIA;PIJAO-POTRERILLO;51,5483871;54,39285714;54,87096774;60,56666667;56,74193548;59,3;57,5483871;56,48387097;48,43333333;32,87096774;32,67;34,84;600,2673733;
2015;HUILA;BARAYA;ECOPETROL;ANDALUCIA;HUILA;51,71;55,82;47,71;32,83;35,84;36,63;36,55;36,87;74,07;73,68;75,97;76,45;634,13;
2017;HUILA;BARAYA;ECOPETROL S.A.;ANDALUCIA;HUILA;78,96774194;95,35714286;91,58064516;93,5;91,7;89,12966667;82,56129032;63,30322581;63,48333333;50,3516129;30,06;44,69354839;874,6882074;
2018;HUILA;BARAYA;ECOPETROL S.A.;ANDALUCIA;HUILA 35;87,31935484;89,95714286;90,61935484;60,747;78,87741935;79,79666667;0;0;0;54,55580645;51,40733333;0;593,2800783;
2018;HUILA;BARAYA;HOCOL S.A.;ANDALUCIA;HUILA 35;0;0;0;0;0;0;80,46258065;62,57612903;62,25733333;0;0;43,34580645;248,6418495;
2020;HUILA;BARAYA;HOCOL S.A.;ANDALUCIA;HUILA;84,75;87,24;85,8;85,93;85,13;75,04;61,09;70,05;59,57;32,38;0;0;726,98;
2013;HUILA;BARAYA;ECOPETROL S.A.;ANDALUCIA  SUR;HUILA;91,12903226;81,71428571;82,16129032;78,66666667;81,19354839;70,43333333;72,67741935;71,38709677;73,67;72,58064516;68,9;61,38709677;905,9004147;
2016; HUILA ; BARAYA ; ECOPETROL ; ANDALUCIA SUR ; HUILA ;79,22580645;84,24137931;80,80645161;81,36666667;81,03225806;82,3;73,5483871;57,35483871;55,9;52,19354839;62,5;70,83870968;861,308046;
2013;CASANARE;PAZ DE ARIPORO;TABASCO OIL COMPANY;ANDALUZ;JAGUEYES 3432-B;0;0;40,64516129;11,46666667;50,87096774;59,86666667;118,6774194;18,48387097;0;0;0,733333333;33,09677419;333,8408602;
